Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Postre helado de avellana y chocolate,4.8,5 valoraciones,medio,30min,8h,6 porciones,"['150 g de azúcar', '3 clara de huevo', '150 g de avellanas', '200 g de crema bien fría', '300 de crema bien fría', '1 ½ cucharadas de azúcar de vainilla', '60 g de azúcar', '40 g de agua', '3 yemas de huevo', '120 g de chocolate amargo en trozos', '1 pizca de sal']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '791 kcal / 3322 kJ'), ('Proteína', '10 g'), ('Grasa', '55 g'), ('Carbohidratos', '65 g'), ('Fibra', '0 g'), ('Grasas saturadas', '0 g'), ('Sodio', '0 mg')]"
Pay de bacalao y brócoli,4.7,7 valoraciones,medio,10min,1h 10min,8 porciones,"['1 diente de ajo', '15 g de aceite de oliva', '5 g de hojas de cilantro, frescas', '260 g de harina', '100 g de mantequilla', '50 g de agua', '½ cucharadita de sal', '200 g de cebolla en rodajas', '2 cucharadas de cilantro', '40 g de aceite de oliva', '1 ½ cucharadita de sal', '1 pizca de pimienta molida', '100 g de vino blanco', '150 g de brócoli', '150 g de bacalao salado y desalado', '450 g de leche', '60 g de harina', '80 g de mantequilla', '1 cucharadita de mostaza', '1 pizca de nuez moscada en polvo', '1 ½ cucharada de bastones de almendras']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '287 kcal / 1205 kJ'), ('Proteína', '7 g'), ('Grasa', '18 g'), ('Carbohidratos', '23 g'), ('Fibra', '0 g'), ('Grasas saturadas', '0 g'), ('Sodio', '0 mg')]"
Galletas de semillas,4.9,39 valoraciones,medio,15min,35min,50 piezas,"['60 g de queso parmesano', '140 g de harina', '½ cucharadita de sal', '50 g de mantequilla con sal', '60 g de crema', '½ cucharada de ajonjolí negro', '½ cucharada de semillas de linaza']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '26 kcal / 109 kJ'), ('Proteína', '1 g'), ('Grasa', '2 g'), ('Carbohidratos', '2 g')]"
Pasta choux y crema pastelera (sin gluten),4.1,27 valoraciones,medio,30min,2h 15min,24 unidades,"['500 g de leche entera', '70 g de azúcar', '50 g de fécula de maíz certificada sin gluten', '2 huevos', '2 yemas de huevo', '1 cucharadita de vainilla líquida', '80 g de harina de arroz casera o certificada sin gluten', '70 g de fécula de maíz certificada sin gluten', '250 g de agua', '80 g de mantequilla', '1 pellizco de sal', '20 g de azúcar', '5 huevos']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '114 kcal / 475 kJ'), ('Proteína', '3.87 g'), ('Grasa', '6.02 g'), ('Carbohidratos', '10.98 g'), ('Fibra', '0.22 g')]"
Croquetas con harina comercial (sin gluten),3.8,57 valoraciones,medio,1h,5h,70 unidades,"['70 g de aceite de oliva virgen extra', '100 g de mantequilla', '30 g de cebolla', '170 g de harina sin gluten Farina Schär®', '1000 g de leche entera a temperatura ambiente', '1 pellizco de nuez moscada molida', '1 pellizco de pimienta molida', '2 pellizcos de sal', '150 g de jamón serrano en dados', '300 g de pan rallado sin gluten', '4 - 6 huevos batidos', '300 g de aceite para freír']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '83 kcal / 348 kJ'), ('Proteína', '2.42 g'), ('Grasa', '5.79 g'), ('Carbohidratos', '5.36 g'), ('Fibra', '0.13 g')]"
Tacos de canasta saludables,4.3,10 valoraciones,medio,45min,1h 50min,6 porciones,"['500 g de plátano macho', '10 g de chile guajillo desvenado', '350 g de jitomate', '1 diente de ajo', '50 g de cebolla', '2 cucharaditas de sal', '10 g de chile chipotle adobado', '800 g de agua', '200 g de masa de maíz nixtamalizado', '1 cucharadita de azúcar', '500 g de frijoles refritos', '6 hoja hojas de plátano 30 x 30 cm cada una']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '265 kcal / 1113 kJ'), ('Proteína', '12 g'), ('Grasa', '1 g'), ('Carbohidratos', '51 g')]"
Lomo de cerdo en salsa de mandarina y nuez,4.0,22 valoraciones,medio,10min,1h 20min,8 porciones,"['150 g de cebolla en trozos', '3 dientes de ajo', '120 g de tocino ahumado rebanado en trozos', '120 g de ciruelas pasas deshuesadas', '40 g de almendras tostadas', '4 cucharaditas de sal', '1000 g de lomo de cerdo limpio', '500 g de jugo de mandarina', '750 g de vino blanco', '150 g de crema', '350 g de nueces', '400 g de agua', '2 cucharadas de azúcar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '796 kcal / 3343 kJ'), ('Proteína', '32 g'), ('Grasa', '53 g'), ('Carbohidratos', '35 g'), ('Fibra', '6 g')]"
Pan rústico de setas y pistachos,4.4,13 valoraciones,medio,30min,2h 30min,1 unidad,"['250 g de agua', '50 g de setas secas variadas', '1 sobre de levadura de panadería deshidratada', '100 g de harina de centeno', '270 g de harina de fuerza', '1 cucharadita de sal', '½ cucharadita de azúcar', '10 g de zumo de limón', '30 g de mantequilla a temperatura ambiente', '60 g de pistachos pelados (sin sal)', '50 g de salvado de avena', '200 g de agua']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '2178 kcal / 9112 kJ'), ('Proteína', '72 g'), ('Grasa', '62 g'), ('Carbohidratos', '364 g'), ('Fibra', '40 g'), ('Grasas saturadas', '20 g'), ('Sodio', '2367 mg')]"
Soufflé de vieira y manchego curado para dos,4.7,15 valoraciones,medio,10min,35min,2 raciones,"['40 g de mantequilla', '50 g de puerro (solo la parte blanca, en rodajas)', '10 g de harina', '100 g de leche', '1 pellizco de sal', '1 pellizco de pimienta negra recién molida', '15 g de queso manchego semicurado rallado', '1 yema de huevo', '1 clara de huevo', '2 vieiras con coral limpias']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '293 kcal / 1225 kJ'), ('Proteína', '10.34 g'), ('Grasa', '24.69 g'), ('Carbohidratos', '7.4 g'), ('Fibra', '0.87 g')]"
Jamón fresco asado con salsa agridulce,4.0,21 valoraciones,medio,10min,1h 20min,12 raciones,"['2000 g de jamón de cerdo fresco en una pieza, deshuesado', '150 - 200 g de ciruelas pasas sin hueso', '2 cucharadas de caramelo líquido', '1 cucharada de extracto de buey (p. ej. Bovril®)', '200 g de cebolla en cuartos', '3 dientes de ajo', '1 cucharada de orégano seco', '1 cucharadita de comino molido', '1 cucharadita de pimienta negra en grano', '100 g de aceite de oliva virgen extra', '50 g de vinagre', '360 g de kétchup', '60 g de mostaza', '330 g de refresco de cola', '2 cucharadas de azúcar', '250 g de agua']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '413 kcal / 1728 kJ'), ('Proteína', '31.93 g'), ('Grasa', '23.69 g'), ('Carbohidratos', '17.82 g'), ('Fibra', '2.99 g')]"
Tarta de mandarinas,4.0,4 valoraciones,medio,15min,2h 45min,8 raciones,"['200 g de harina de repostería (y algo más para trabajar la masa)', '1 cucharadita de levadura química en polvo', '1 pellizco de sal', '100 g de mantequilla fría, en trozos pequeños (y un poco más para untar el molde)', '40 g de azúcar glas', '2 yemas de huevo', '1 sobre de preparado en polvo para natillas (de 20 g)\no bien 1 sobre de preparado en polvo para pudín de vainilla (p. ej. Belbake® de 37 g)', '50 g de azúcar', '350 g de leche', '250 g de crème fraîche', '500 g de gajos de mandarina en conserva (escurridas)', '30 g de palitos de almendra', '100 g de azúcar glas', '2 cucharadas de zumo de limón']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '521 kcal / 2179 kJ'), ('Proteína', '6.51 g'), ('Grasa', '32.16 g'), ('Carbohidratos', '51.38 g'), ('Fibra', '1.86 g')]"
Bundt Cake con frutas del bosque y flores,4.3,3 valoraciones,medio,15min,1h,10 porciones,"['150 g de azúcar', '220 g de harina de trigo', '50 g de almendras, crudas', '1 pizca de sal', '10 g de azúcar avainillada', '1 huevo', '1 yema de huevo', '100 g de mantequilla', '150 g de queso crema', '220 g de mascarpone', '75 g de crema para batir (30-40% grasa)', '10 g de extracto de vainilla natural\no bien 10 g de azúcar avainillada', '5 g de té de jamaica concentrado', '300 g de mezcla de frutos rojos p. ej. frambuesas, moras, arándanos', '10 - 15 g flores comestibles', '10 g de hojas de hierbabuena fresca']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '461.1 kcal / 1929.1 kJ'), ('Proteína', '6.9 g'), ('Grasa', '31.1 g'), ('Carbohidratos', '40.1 g'), ('Fibra', '2 g'), ('Grasas saturadas', '17 g'), ('Sodio', '175 mg')]"
Pan en capas,5.0,2 valoraciones,medio,30min,2h 30min,10 porciones,"['540 g de agua', '20 g de levadura fresca', '560 g de harina de trigo', '½ cdita de azúcar', '30 g de mantequilla cortado en trozos', '2 cditas de sal', '1 cdita de ácido cítrico\no bien 30 g de jugo de limón amarillo', '80 g de queso parmesano cortado en trozos', '25 g de piñón rosa', '1 diente de ajo', '40 g de hojas de albahaca fresca', '75 g de aceite de oliva extra virgen', '1 cdita de sal', '50 g de aceitunas negro o verde, cortado en aros', '50 g de jitomate deshidratado en aceite cortado en rodajas', 'de harina de trigo para espolvorear', 'aceituna para hacer los ojos y la boca']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '366.5 kcal / 1534.4 kJ'), ('Proteína', '10.6 g'), ('Grasa', '15.1 g'), ('Carbohidratos', '47.6 g'), ('Fibra', '2.9 g'), ('Grasas saturadas', '4.2 g'), ('Sodio', '0.4 mg')]"
Sushi Burrito,5.0,2 valoraciones,medio,30min,45min,4 piezas,"['50 g de cebolla morada en trozos', '100 g de zanahoria', '200 g de pepino', '1 aguacate', '1000 g de agua', '250 g de arroz para sushi', '4 cdas de vinagre', '2 cditas de azúcar', '1 ½ cdita de sal', '100 g de salmón ahumado', '50 g de queso crema', '100 g de mayonesa', '20 g de salsa sriracha (opcional)\no bien 20 g de salsa picante (opcional)', '100 g de atún enlatado, en agua escurrido', '2 pizcas de pimienta molida', '4 alga nori']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '617.8 kcal / 2584.9 kJ'), ('Proteína', '16.5 g'), ('Grasa', '33.5 g'), ('Carbohidratos', '62.5 g'), ('Fibra', '4.8 g'), ('Grasas saturadas', '6.6 g'), ('Sodio', '1334.2 mg')]"
Alfajores de gofio (Canarias),4.7,15 valoraciones,medio,30min,1h 30min,40 unidades,"['150 g de harina de repostería', '300 g de gofio', '1 sobre de levadura química en polvo (16 g)', '220 g de mantequilla en trozos (a temperatura ambiente)', '200 g de azúcar', '2 huevos', '400 g de dulce de leche', '100 g de coco rallado']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '136 kcal / 569 kJ'), ('Proteína', '1.84 g'), ('Grasa', '6.11 g'), ('Carbohidratos', '18.48 g'), ('Fibra', '0.65 g')]"
Donas Holandesas (Oliebollen),4.0,4 valoraciones,medio,30min,1h 45min,8 piezas,"['1 manzana (cualquier tipo) sin corazón, en cuartos', '10 g de levadura seca instantánea', '120 g de leche', '1 huevo', '½ cdita sal', '200 g de harina de trigo', '100 g de pasitas, cualquier tipo', '1300 g de agua', '50 g de vinagre para la limpieza', '30 g de jugo de limón amarillo', '500 g aceite de girasol', '4 cdas de azúcar glass para espolvorear']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '294.3 kcal / 1231.2 kJ'), ('Proteína', '4.8 g'), ('Grasa', '14 g'), ('Carbohidratos', '38.7 g'), ('Fibra', '2 g'), ('Grasas saturadas', '2.2 g'), ('Sodio', '171 mg')]"
Mini eclairs de frambuesa,4.3,3 valoraciones,avanzado,40min,3h,48 piezas,"['250 g de frambuesas\no bien 250 g de frambuesas congeladas descongeladas', '400 g leche', '100 - 150 g de azúcar', '½ cdita de extracto de vainilla natural', '1 huevo mediano', '2 yemas de huevo', '50 g de fécula de maíz', '150 g de agua', '80 g de mantequilla cortada en trozos', '15 g de azúcar', '1 pizca sal', '120 g de harina de trigo', '3 huevos medianos', '200 g de azúcar', '1 clara de huevo']","[('Inf. nutricional', 'por 48 piezas'), ('Calorías', '3317 kcal / 13884 kJ'), ('Proteína', '71 g'), ('Grasa', '114 g'), ('Carbohidratos', '495 g'), ('Fibra', '21.7 g'), ('Grasas saturadas', '63 g'), ('Sodio', '1055 mg')]"
Tartas de fresa con pasta filo y queso de cabra,5.0,2 valoraciones,medio,10min,30min,12 piezas,"['20 g de pistaches descascarillados sin sal', '80 g de mantequilla cortado en trozos', '250 g pasta filo (aprox. 11 capas, 30 cm x 40 cm)', '300 g de queso de cabra suave (ver consejo)', '40 - 60 g de azúcar', '1 vaina de vainilla solo la vainillina', '12 fresa en rodajas', 'miel para rociar']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '207.1 kcal / 866.4 kJ'), ('Proteína', '6.6 g'), ('Grasa', '12.7 g'), ('Carbohidratos', '16.7 g'), ('Fibra', '0.8 g'), ('Grasas saturadas', '7.5 g'), ('Sodio', '216.3 mg')]"
Pierogi con queso y blueberry's,5.0,1 valoración,medio,10min,1h 15min,6 porciones,"['30 g de azúcar', '400 g de crema ácida (20% de grasa)\no bien 400 g de yogur griego', '250 g de mascarpone', '50 g de yogur griego', '1 yema de huevo', '50 g de azúcar', '200 g de blueberry\no bien 200 g de blueberry congelados pero descongelados', '250 g de agua caliente un poco tibia', '1 huevo', '20 g de aceite vegetal', '560 g de harina de trigo', 'harina de trigo para espolvorear', '3000 g de agua para cocinar', 'sal para cocinar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '635.2 kcal / 2657.8 kJ'), ('Proteína', '18.2 g'), ('Grasa', '21 g'), ('Carbohidratos', '93.2 g'), ('Fibra', '3.3 g'), ('Grasas saturadas', '9.7 g'), ('Sodio', '229.8 mg')]"
Ravioles de cerdeña (Culurgiones),5.0,2 valoraciones,medio,1h,2h 30min,6 porciones,"['1000 g de agua', '800 g de papas peladas, picadas (1 cm)', '300 g de harina de sémola de trigo duro y un poco más para espolvorear', '150 g de agua', '5 g de aceite de oliva', '5 g de sal', '300 g de queso pecorino cortado en trozos (2-3 cm)', '1 diente de ajo', '10 hojas de menta frescas', '30 g de aceite de oliva', '120 g de cebolla', '1 diente de ajo', '50 g de aceite de oliva', '800 g de puré de jitomate enlatado', '1 cdita azúcar', '½ cdita sal', '10 hojas de albahaca frescas']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '675 kcal / 2824 kJ'), ('Proteína', '24.2 g'), ('Grasa', '32.6 g'), ('Carbohidratos', '71.1 g')]"
Tamales Chiapanecos,4.9,117 valoraciones,medio,30min,2h 30min,10 porciones,"['20 g de chile pasilla sin semillas y sin tallos', '30 g de chile ancho sin semillas y sin tallos', '40 g de chile guajillo sin semillas y sin tallos', '120 g de almendras', '10 g de ajonjolí', '20 g de pasitas', '20 g de cacahuates tostados sin sal', '½ rama de canela', '50 g de aceite vegetal', '2 dientes de ajo pelados', '40 g de cebolla blanca en trozos', '2 clavos de olor', '450 g de jitomate en trozos', '1 cda de azúcar\no bien piloncillo molido', '1 ½ cdita de sal', '90 g de chocolate artesanal en trozos', '1 pizca de comino en polvo', '1 pizca de pimienta negra molida', '1 pizca de nuez moscada en polvo', '2 cubos de caldo de verdura', '600 g de agua', '700 - 1000 g de pechuga de pollo deshuesada y sin piel en trozos', '2 plátanos machos', 'aceite de coco para freír', 'hoja de plátano', '250 g de manteca de cerdo', '1000 g de masa de maíz para tortillas', '80 g de caldo de pollo', '70 g de caldo de pollo', '1 cda de sal fina', '2 - 4 huevos a temperatura ambiente', '1000 g de agua', 'agua fría', '100 g de aceitunas verdes', '100 g de almendras', '200 g de ciruela pasa deshuesada y deshidratada', '1 pimiento tatemado, pelado y cortado en tiras largas muy finas', '1500 g de agua']","[('Inf. nutricional', 'por 10 porciones'), ('Calorías', '11763.8 kcal / 49219.9 kJ'), ('Proteína', '415.3 g'), ('Grasa', '560.2 g'), ('Carbohidratos', '1408.9 g'), ('Fibra', '223.1 g'), ('Grasas saturadas', '153.8 g'), ('Sodio', '13182.6 mg')]"
Mochi helado de ajonjolí negro,5.0,2 valoraciones,medio,1h,23h,12 pieza,"['50 g de ajonjolí negro', '60 g de azúcar', '100 g de leche', '300 g de crema para batir (30-40% grasa)', '3 yemas de huevo', '¼ cdita de extracto de vainilla natural', '2 pizcas de sal', '140 g de azúcar', '120 g de harina de arroz glutinoso', '180 g de agua', '3 - 5 cdas de fécula de maíz']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '236.2 kcal / 988.4 kJ'), ('Proteína', '2.9 g'), ('Grasa', '12.7 g'), ('Carbohidratos', '28.7 g'), ('Fibra', '0.9 g'), ('Grasas saturadas', '6.6 g'), ('Sodio', '41.2 mg')]"
Pastel de calabaza al cacao con cobertura de fresa,4.6,36 valoraciones,medio,25min,1h 30min,12 raciones,"['250 g de pulpa de calabaza asada (40 min en el horno o 10 min en el microondas)', '250 g de azúcar', '3 huevos', '70 g de aceite de girasol', '230 g de harina de repostería', '50 g de cacao puro en polvo', '3 sobres de gaseosa en polvo dobles', '300 g de mermelada de fresa', '3 hojas de gelatina (hidratadas en agua fría un mínimo de 5 min)', '30 g de fideos de chocolate', '12 fresas para decorar']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '331 kcal / 1382 kJ'), ('Proteína', '4.68 g'), ('Grasa', '8.88 g'), ('Carbohidratos', '58.01 g'), ('Fibra', '1.99 g')]"
Mini Pavlovas con helado de frambuesa,5.0,1 valoración,medio,1h,13h,12 pieza,"['80 g de azúcar', '4 claras de huevo a temperatura ambiente', '20 g de fécula de maíz', '½ cdita de vinagre blanco', '½ cdita de extracto de vainilla natural', '300 g de frambuesas congeladas', '90 g de azúcar', '30 g de jugo de limón amarillo', '120 g de azúcar', '300 g de crema para batir (min 30% de grasa)', '400 g de leche', '4 yemas de huevo', '1 cdita de extracto de vainilla natural', '300 g de crema para batir (30-40% grasa)', '100 g de frutos rojos, mixtos, frescos para decorar']","[('Inf. nutricional', 'por 1 pieza'), ('Calorías', '332.1 kcal / 1389.5 kJ'), ('Proteína', '4.4 g'), ('Grasa', '21.1 g'), ('Carbohidratos', '33.2 g'), ('Fibra', '1.9 g'), ('Grasas saturadas', '12.6 g'), ('Sodio', '53.4 mg')]"
Perlas de uva Concord con champán,5.0,2 valoraciones,avanzado,35min,40min,6 vasos,"['170 g aceite de canola frío', '170 g de jugo de uva concentrado, tipo Concord, congelado', '¼ cdita de goma de garrofín', '110 g de agua', '¾ cdita polvo de agar agar', '750 g de champán']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '429.6 kcal / 1797.3 kJ'), ('Proteína', '0.1 g'), ('Grasa', '28.3 g'), ('Carbohidratos', '21.4 g'), ('Fibra', '0.2 g'), ('Grasas saturadas', '2.1 g'), ('Sodio', '21.5 mg')]"
Pastel de crema y champán,4.5,2 valoraciones,medio,25min,55min,12 rebanadas,"['5 huevo', '150 g azúcar', '15 g azúcar aromatizada con vainilla', '1 pizca sal', '175 g harina semi-integral', '2 cditas polvo para hornear', '5 cda agua caliente', '8 láminas de grenetina', '1 limón el jugo y la ralladura', '3 yemas de huevo', '150 g azúcar', '200 g de champán\no bien 200 g de vino blanco o sparkling white wine', '300 g de crema para batir (30-40% grasa)', '250 g de uvas rojas o blancas', '1 de jugo de limón, recién exprimido']","[('Inf. nutricional', 'por 1 rebanadas'), ('Calorías', '315.8 kcal / 1321.5 kJ'), ('Proteína', '6.4 g'), ('Grasa', '12.3 g'), ('Carbohidratos', '43.6 g'), ('Fibra', '0.8 g'), ('Grasas saturadas', '6.7 g'), ('Sodio', '117.2 mg')]"
